la advertencia , the warning
el aeropuerto , the airport
el agente de seguridad , the security agent
la alerta , the alert
la amenaza , the threat
el arma , the weapon
arrestado/a , arrested
el ataque , the attack
el ataque terrorista , the terrorist attack
el atentado , the attempt or assault
la balacera , the shootout
el blanco , the target
los bomberos , the firefighters
la búsqueda , the search
la cadena perpetua , life imprisonment
la captura , the capture
la cárcel , the jail
los cargos , the charges
el cartel , the cartel
el centro de detención , the detention center
el cibercriminal , the cybercriminal
el ciberdelincuente , the cyber offender
el ciberterrorismo , cyberterrorism
el ciudadano , the citizen
combatir , to combat
el cómplice , the accomplice
la condena , the sentence
confiscar , to confiscate
la conspiración , the conspiracy
el contacto , the contact
correr peligro , to be in danger
la corte , the court
el crimen , the crime
cumplir la ley , to comply with the law
el daño , the damage
los datos , the data
la declaración , the statement
la defensa , the defense
el/la delincuente , the criminal
el delito , the offense
denunciar , to report
desaparecer , to disappear
desaparecido/a , missing
los desastres naturales , natural disasters
el/la detenido/a , the detainee
el/la director/a de la policía nacional , the director of the national police
el documento , the document
la droga , the drug
la edad , the age
los efectivos del orden , law enforcement officers
el/la enemigo/a , the enemy
el equipo de seguridad , the security team
el/la espía , the spy
el espionaje , espionage
el/la estafador/a , the swindler
estar preparado , to be prepared
la falsificación de documentos , document forgery
el fiscal , the prosecutor
el fraude , the fraud
las fuerzas armadas , the armed forces
el grupo terrorista , the terrorist group
el guardacostas , the coast guard
la guerra , the war
el helicóptero , the helicopter
el herido , the injured
el historial , the record
el historial crediticio , the credit history
el hospital , the hospital
ilegal , illegal
ilegalmente , illegally
el incendio , the fire
la información clasificada , classified information
inocente , innocent
la inseguridad , insecurity
interceptar , to intercept
la invasión , the invasion
la investigación , the investigation
investigar , to investigate
la justicia , justice
la armada , the navy
la escena del crimen , the crime scene
el ladrón , the thief
legal , legal
la ley , the law
la liberación , the release
la lucha , the fight or struggle
la masacre , the massacre
las medidas , the measures
los medios de comunicación , the media
militar , military
monitorear , to monitor
la muerte , death
el/la narcotraficante , the drug trafficker
el oficial de seguridad diplomática , the diplomatic security officer
la orden de detención , the arrest warrant
las organizaciones delictivas , criminal organizations
la pandilla , the gang
el pasaporte , the passport
la patrulla , the patrol
la paz , peace
el peligro , the danger
peligroso , dangerous
perpetrar , to perpetrate
el pirata informático , the hacker
el plagio , plagiarism
la policía , the police
la prevención , prevention
la privacidad , privacy
proteger , to protect
el reporte , the report
rescatado , rescued
el riesgo , the risk
el robo , the theft
el robo de identidad , identity theft
la sección de seguridad , the security section
secuestrar , to kidnap
la seguridad , security
el soborno , the bribe
sospechar , to suspect
el sospechoso , the suspect
el terrorismo , terrorism
el terrorista , the terrorist
los tiros , the shots
el tráfico ilegal , illegal trafficking
la tragedia , the tragedy
la trata de personas , human trafficking
el/la turista , the tourist
la valla de seguridad , the security fence
velar por el orden público , to watch over public order
vigilado , surveilled
la vigilancia , surveillance
la violencia , violence
la vivienda , housing
la vulnerabilidad , vulnerability
vulnerable , vulnerable
el análisis , the analysis
el funcionario de seguridad diplomática , the diplomatic security official
el vínculo , the link